"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.0209179344404891,-0.0514985442860052,0.00735298791551031,-0.0214630156108686,0.08086
"PreClim",-0.000201307005340634,-0.0252844341302989,0.0242645790567622,0.000460426599799835,0.97414
"InvClim",0.000190730514104115,-0.0230445547495037,0.0221800211584195,0.000531786109090215,0.95832
"InvTime",-0.000150465131083205,-0.0237231697101379,0.0271737372968346,0.000357618460780307,0.93457
"Phylo",0.00247168016485454,2.1593082200205e-16,0.00270723045805556,-1.56718349605367e-06,5e-06
"Spp",0.00127881547726991,6.34096867619135e-16,0.00200010130680376,-1.35739008221841e-06,5e-06
"units",0.000104575036037917,2.12582508450083e-05,0.000267033960345114,3.47948015342501e-05,5e-06
"h2phylo",0.21888164329887,6.37147737408135e-12,0.811092112498862,0.00243787406475585,5e-06
"s2",0.193484764112438,1.1348369234987e-11,0.743030028196691,0.00125301970222139,5e-06
"CVphylo",0.179850001911204,-3.7522253350182,1.95923074811071,-39.3210251603123,0.08086
"CVspp",0.114147728288879,-3.22933505356491,1.60115765839872,2.81266617149231,0.08086
"CVresid",-0.188733296521926,-2.28062001715768,0.547300779660058,-9.45292433502618,0.08086
