"","Iteration","Intercept","scPreClim","scInvClim","InvTime"
"1",1,-0.0132841994000394,-0.0384411384288232,-0.0349738070011663,0.011541757423468
"2",51,-0.00273413481542699,-0.0517734026925231,-0.0425134269961464,0.0189969914841399
"3",101,0.0161516916214435,-0.0628063108901984,0.0407170723550397,0.0458199843523545
"4",151,0.00996149755358984,-0.0557995667231818,0.0307277386409786,0.0400616876556444
"5",201,-0.00286866163407138,-0.0432739774287251,-0.0313526638478162,0.0134285075557599
"6",251,-0.000121636058708398,-0.0643530385932912,-0.0562388500652036,0.0327413961706595
"7",301,-0.00375541632589391,-0.0424083814191024,-0.0288490994396754,0.0150852003521415
"8",351,0.0194324442684922,-0.0607059116510319,0.0391939155737986,0.037644962091588
"9",401,0.00453185462761847,-0.0520035434113253,0.0212701101765585,0.0339853234655802
"10",451,0.00937390563520198,-0.0556542000668631,0.0303037967691977,0.0419723381644616
"11",501,0.0146720228893252,-0.0637702595289183,0.0418340085980674,0.0479417464879573
"12",551,0.0190666638804008,-0.0748990130443544,0.053678556083738,0.0623695845516049
"13",601,-0.0375240881216226,-0.0435614219589212,-0.0393533734060207,0.0157662152626762
"14",651,0.0177931890069091,-0.0626300995891117,0.0419554566885675,0.0439772807839205
"15",701,0.00183832992480199,-0.0414137075501686,-0.00912468023688429,0.0165757225895072
"16",751,0.016111282373122,-0.0614709944409765,0.0403415234383864,0.0447935978535552
"17",801,0.00157895098727934,-0.0400273548371613,0.00111181004511156,0.0232132622539091
"18",851,0.00494816612965263,-0.0490458103041542,0.0161260846783368,0.030977054809636
"19",901,0.00828650767641988,-0.0524190527006109,0.0286435088555824,0.0388472453812114
"20",951,0.00301077320693388,-0.0509853169929349,0.0236154682476163,0.0359336073455779
"21",1001,0.0027009879801009,-0.0482132228215443,0.0145555649117932,0.0329796920798757
"22",1051,0.0177848145611454,-0.0694816162055927,0.0453903204252916,0.0526571846891383
"23",1101,-0.00116371612308883,-0.0621450315180668,-0.047237943365174,0.0309094840502011
