"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.171377058669019,-0.411716491216794,0.0897865867591463,-0.183824546817009,0.15232
"PreClim",-0.0045984067129783,-0.171832002997689,0.161298553306551,0.00346579016284609,0.90185
"InvClim",0.0061479143247496,-0.153264089574805,0.162965760857332,0.00884236856864362,0.88458
"InvTime",-0.000117708782651419,-0.178700796182966,0.177505263054627,0.00660440874662971,0.94385
"Phylo",0.062759084111704,7.58575009329627e-15,0.115508057480546,-0.00010620683485745,5e-06
"Spp",0.0347338631212053,5.88343788948185e-14,0.102538786411227,-9.61023613033331e-05,5e-06
"units",0.00708681511097969,5.72537941340759e-05,0.0222165515140136,0.00024162728292089,5e-06
"h2phylo",0.243763324207364,5.91512667257973e-13,0.815891849480875,0.00169883035829217,5e-06
"s2",0.227693185981013,1.89019931815412e-10,0.790129797481486,0.0021435533443894,5e-06
"CVphylo",-0.306112762679806,-3.67850470416843,2.18316034220945,-8.82592846498665,0.15232
"CVspp",-0.29122401125105,-3.54456397278609,2.04674349350308,-2.66659247747521,0.15232
"CVresid",-0.590322318562093,-2.73539529007148,1.93120575192414,-28.2630155955812,0.15232
