"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",0.00228599303112611,0.0109260322349991,0.0109260322349991,-0.000283196592407102,0.000545637525831546
"Lag 250",-0.0333888283564352,-0.00778302166921924,-0.00778302166921925,-0.0107493165550565,0.0322114648969778
"Lag 500",-0.00870826250599942,0.0174964740833321,0.0174964740833321,-0.00761034878264275,-0.00499741509901095
"Lag 2500",0.0364379589567853,0.0104541969330301,0.0104541969330301,-0.0100780942196935,0.00227283142867406
