"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,0.0227118148104053,0.0148499611366058,0.0305762225769166,1933.96576987856
"2",51,0.0385456844475836,0.0257561754494189,0.0518401539297678,1943.47154867985
"3",101,0.032891218587162,0.0217576800647171,0.0441708217842669,1927.03385222565
"4",151,0.00187015063100354,0.00124789756097314,0.00252776544247717,1800
"5",201,0.024942080890817,0.0168395429077526,0.0341105295900214,1926.56785406833
"6",251,0.0519316949151812,0.0344078029450746,0.0696968393325947,1950.7833551606
"7",301,0.0292063111927963,0.0195663454347216,0.0393425091829431,1939.15644707283
"8",351,0.00520296335061361,0.0036297183529011,0.00721296914588879,1944.68722641463
"9",401,0.0021183678993485,0.0014415636979138,0.00289117981379287,1950.35406189739
"10",451,0.0133783545166414,0.00919496639126045,0.0184086135169862,1800
"11",501,0.0130349114461269,0.00861052891909242,0.0175418206265874,1952.05885899897
"12",551,0.00630022082538234,0.0042152173263149,0.0085622600903522,1930.91447393068
"13",601,0.0120967168826858,0.0083361464031449,0.0166598327198069,1800
"14",651,0.0210939366311974,0.013977212667517,0.028388350415885,1940.91207928652
"15",701,0.00426153292678638,0.00285154437639726,0.00576421310073885,1941.8287254195
"16",751,0.00108967160229293,0.000747163183013942,0.00149468388081037,1944.79223878612
"17",801,0.0371516012111004,0.025085790760712,0.0502274346723302,1944.08816328016
"18",851,0.0068363719614727,0.00451259988737087,0.00924157846653044,1947.54890264895
"19",901,0.0493188860574761,0.0328146071460372,0.0663395720762116,1943.04798907008
"20",951,0.0145081420415834,0.00958320707455234,0.0195685263319387,1945.62025722411
"21",1001,0.0309184626049576,0.0201339166942672,0.0411921672010538,1949.22024921534
"22",1051,0.0233856712833246,0.0157061388376383,0.0314436107059876,1946.90376968207
"23",1101,0.0176891412946793,0.0118789625504339,0.0239677593567674,1942.35150022196
"24",1151,0.00644686217458531,0.00426320248070322,0.00865899718003695,1940.12595177555
"25",1201,0.0321212149048158,0.0216134189981226,0.0433454407273337,1944.82474705426
"26",1251,0.0209867643129629,0.0140207178896435,0.0283412586638478,1941.20085860769
"27",1301,0.0367052133960945,0.024292696899307,0.0492926642653376,1942.72580453997
"28",1351,0.0337774595593394,0.0222238094314801,0.0454124613195885,1946.68705176849
"29",1401,0.00719845006905396,0.00483761610632312,0.0096846003877921,1944.93433221535
"30",1451,0.052514665135398,0.0352186315843875,0.0713708110157544,1944.90677458485
"31",1501,0.0101772714824503,0.00673206852191999,0.0136361072194225,1938.28307665674
"32",1551,0.0317519626399941,0.0221149605673996,0.0440266829400894,1958.51574536143
"33",1601,0.00585717233795026,0.00392002001656629,0.00792116782008449,1945.31200318297
"34",1651,0.0165894007268498,0.0110084773940788,0.0223262388150707,1936.47869656011
"35",1701,0.00330784474833774,0.00227579043114926,0.00452692792081135,1941.50074328397
"36",1751,0.0204485238693966,0.0138895844960441,0.0278572961835752,1935.913388563
"37",1801,0.0112030246535601,0.00755237602620318,0.0151654760173597,1936.81064871758
"38",1851,0.0491972361487196,0.0325689546400041,0.0657907288332253,1948.17034117339
"39",1901,0.00707949897437848,0.0046356897215565,0.00944314879008836,1938.64037498373
"40",1951,0.011235280440137,0.00754294567719686,0.0151210684429941,1942.67413951393
"41",2001,0.00242896996105441,0.00161985667878649,0.0033217956076148,1924.64103163908
"42",2051,0.00037138108283205,0.000245847915418622,0.000495456760893709,1950.54079574701
"43",2101,0.0344044887267674,0.0228933813851622,0.0461733129137435,1939.2887665091
"44",2151,0.00811760219892477,0.00543808059545492,0.0109091387980698,1944.68355702397
"45",2201,0.0148173149868335,0.0100124920598208,0.0201025683604235,1944.65272087405
"46",2251,0.00385924433033987,0.00264377014120872,0.00526384673488061,1931.26737371777
"47",2301,0.0645322124388795,0.0432078305922728,0.0865921979121585,1948.81953285666
"48",2351,0.0263475525856102,0.0181816551047465,0.0364065994143744,1800
"49",2401,0.00618637500614972,0.00399247296953434,0.00824322936227633,1947.719813218
"50",2451,0.0218866181634165,0.015373599923393,0.0305435334105619,1942.00026790083
"51",2501,0.0266206333494712,0.0182317129766425,0.0366856878515478,1926.67108659656
"52",2551,0.00320592639143126,0.00217588302946516,0.00440816893699471,1800
"53",2601,0.0468496934029302,0.0316249644210261,0.063669118386041,1945.24950091275
"54",2651,0.00930698864147661,0.00627485065686751,0.0125783692172221,1943.09613049315
"55",2701,0.00287457890890674,0.00191918918076022,0.00388478327716558,1800
"56",2751,0.00933519725926434,0.00637543969716248,0.0127779583870509,1942.05071054994
"57",2801,0.00287853212918761,0.00195303287943236,0.00394911184537176,1800
"58",2851,0.0203666487634088,0.0134037308469378,0.027304032281984,1950.53531115047
"59",2901,0.0584894206667293,0.0389718025729902,0.0782522137979843,1942.05550251138
"60",2951,0.0414929278414112,0.0278907100195715,0.0559045209872939,1942.97685378945
"61",3001,0.0161921204695374,0.0107182859620755,0.0219181562524053,1956.11334103829
"62",3051,0.0489472484028349,0.0326653324004898,0.065900506869878,1938.73072599946
"63",3101,0.0230470897887166,0.0154220474886076,0.0308957366960899,1945.58844616299
"64",3151,0.0145111890895542,0.00959090490560257,0.0195355804666254,1969.72787452488
"65",3201,0.0406505203432801,0.0272349173482018,0.0552926888856507,1947.47626649814
"66",3251,0.00184170605503002,0.00123753530959221,0.0024859814680597,1939.97783695168
"67",3301,0.0243718955800297,0.0162351006958908,0.0328530573044976,1940.11708357459
"68",3351,0.0140181621313056,0.00927058077859322,0.018774634074101,1925.19499622614
"69",3401,0.0197474470902112,0.0129023413470512,0.0265226245157692,1952.67881911586
"70",3451,0.0208550357172593,0.0139838322230234,0.0282129718924822,1940.45329457758
"71",3501,0.0184550236010889,0.0123815391365026,0.024812807391908,1943.51086011739
"72",3551,0.0159857078494746,0.0107139201448228,0.0215076386038848,1947.00548451334
"73",3601,0.0102846638380357,0.00689836633691773,0.0138476189942188,1943.46028919138
"74",3651,0.00633906632750501,0.00417604897535869,0.00854538734218918,1948.16248455149
"75",3701,0.0366009566606296,0.0243356429254908,0.0493508725365501,1945.28789154553
"76",3751,0.0309803146961122,0.0206109746587581,0.0418489936787336,1934.49577843857
"77",3801,0.0297692767894147,0.0199070543273207,0.0398602423093345,1951.28088549506
"78",3851,0.0121534051070892,0.00838941302383196,0.0167455045625159,1949.07071759355
"79",3901,0.0190524129051318,0.0127494784147844,0.0256105505418947,1947.76121361061
"80",3951,0.0175942871679459,0.0118969984134512,0.023856303061543,1936.29781573027
"81",4001,0.0184174679929812,0.0128000036142439,0.0254299874887759,1800
"82",4051,0.0117513703143028,0.00770185890646404,0.0157265906922369,1952.30074201116
