"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,0.00042129888227232,-0.0126287792809308,0.0114642517874017,4810.17428290549,0.837777777777778
"2",51,3.29687011155499e-05,-0.00988190450880211,0.00894077287921391,6041.03884567228,0.996666666666667
"3",101,0.00117925526501095,-0.0342257795255136,0.037374504681793,3327.57280812594,0.997777777777778
"4",151,-0.000269106532124436,-0.0143998357816599,0.011956938658841,6749.43792812249,0.903333333333333
"5",201,0.00123333774998021,-0.0305061299550289,0.0244145397246029,2178.62381378277,0.888888888888889
"6",251,0.000137701432823031,-0.0126563127560075,0.0107384320217534,7090.86675157445,0.936666666666667
"7",301,0.000706351920689367,-0.0198167656199075,0.0181729072937742,1246.60650429537,0.753333333333333
"8",351,-0.000576357328188853,-0.0160730361239985,0.0160736560465011,1889.95656399604,0.804444444444444
"9",401,0.000393241303572446,-0.00840054628497455,0.00945615187629301,4207.95192969349,0.797777777777778
"10",451,0.000432999625229671,-0.00966857574530877,0.00948137410159688,5519.20158133293,0.795555555555556
"11",501,-0.000848014972499169,-0.0184293763450114,0.0207859539368656,2162.9314217692,0.883333333333333
"12",551,-0.000433339576751435,-0.0120210258464795,0.0128985417250078,4775.48423583614,0.836666666666667
"13",601,0.000462388164227024,-0.0364447929969174,0.0254741944954731,25061.2862822933,0.826666666666667
"14",651,0.000376606966758454,-0.0118040494853631,0.0101965893045417,1012.22574472107,0.92
"15",701,0.000933492403526886,-0.0209289921040181,0.0183770100629772,5266.15997407098,0.83
"16",751,8.06807246522033e-05,-0.0188683519954793,0.0149505216249963,8688.86206290833,0.981111111111111
"17",801,-0.000424187935689725,-0.0124102898116689,0.0120399520965293,1307.1264433699,0.864444444444444
"18",851,0.000694371646193233,-0.0861146399984136,0.115944058314199,11130.3347486439,0.786666666666667
"19",901,0.00120709099535822,-0.0350994100153912,0.0396019324234658,1743.38205842227,0.991111111111111
"20",951,-1.30454567618443e-05,-0.0183237906021532,0.012287988341086,5144.43440798841,0.988888888888889
"21",1001,-0.000748051176506874,-0.0214617799574626,0.0130851504800376,5385.76125282787,0.826666666666667
"22",1051,0.00168620089190874,-0.0247959869448096,0.0303918850549962,7983.30887555501,0.66
