"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-0.0163702698672396,0.00759768707475543,0.00759768707475542,0.00458428289466374,-0.0212050250246135
"Lag 250",-0.00488993353407132,0.0244627036599972,0.0244627036599972,0.020663353169683,-0.00424749879463124
"Lag 500",-0.0325461668652082,0.0268352574778469,0.0268352574778469,0.0152163551930917,-0.00422107694359165
"Lag 2500",-0.0168894837631838,-0.000694470390127371,-0.000694470390127365,-0.000725701456777322,0.00177042727768876
