"","(Intercept):(Intercept).Cage","nTreatment:(Intercept).Cage","(Intercept):nTreatment.Cage","nTreatment:nTreatment.Cage","units"
"Lag 0",1,1,1,1,1
"Lag 50",-0.00651540423572079,-0.0114433729629944,-0.0114433729629944,0.00798649487960608,0.00652029376260618
"Lag 250",0.0401184025906918,-0.0195964113747435,-0.0195964113747435,-0.00978452465648019,-0.00520071112935483
"Lag 500",0.00307914856674493,-0.00379435798711277,-0.00379435798711277,-0.00872794164456633,0.00173289285421447
"Lag 2500",-0.0135225741422564,-0.0304289767286493,-0.0304289767286493,-0.00602096680150995,0.0191879588931825
