points,Longitude,Latitude
284,-77.3143,34.5753
285,-78.2599,34.6767
286,-78.4798,34.4308
287,-81.2181,28.8059
288,-82.9629,35.0897
289,-76.638,34.8218
290,-80.074,35.3744
291,-78.2599,34.6767
292,-78.4798,34.4308
293,-77.1822,35.1504
294,-81.2181,28.8059
295,-77.1822,35.1504
296,-76.638,34.8218
297,-78.2599,34.6767
298,-82.9319,35.0843
299,-78.4798,34.4308
300,-82.9807,29.4888
301,-78.372,34.1991
302,-82.9582,35.052
303,-78.2599,34.6767
304,-75.7367,36.0854
305,-78.4798,34.4308
306,-80.5498,24.9795
307,-78.372,34.1991
308,-77.9484,34.0599
309,-78.531,34.3172
310,-82.937,35.0565
311,-78.2924,34.0639
312,-81.1862,28.2307
313,-78.372,34.1991
314,-78.2992,34.5917
315,-77.9095,34.3434
316,-77.1822,35.1504
317,-78.2924,34.0639
318,-81.1862,28.2307
319,-76.9842,34.8452
320,-77.8141,34.8315
321,-77.9707,33.8581
322,-76.3328,34.8856
323,-80.1928,25.8632
324,-76.638,34.8218
325,-76.9842,34.8452
326,-78.5227,34.3207
327,-77.9484,34.0599
328,-76.9826,34.8693
329,-77.1561,34.8271
330,-80.257,25.7126
331,-77.9261,34.5521
332,-76.638,34.8218
333,-76.9842,34.8452
334,-77.0083,34.9599
335,-76.9826,34.8693
336,-78.4745,34.4344
337,-78.241,34.0463
338,-76.7994,34.7872
339,-78.0191,33.9166
340,-76.638,34.8218
341,-78.2177,34.0284
342,-78.3601,34.4789
343,-76.7994,34.7872
344,-78.4745,34.4344
345,-78.0191,33.9166
346,-76.791,34.6975
347,-78.2177,34.0284
348,-77.1143,34.9043
349,-77.1832,34.8191
350,-76.791,34.6975
351,-81.3135,28.7813
352,-77.9707,33.8581
353,-76.9865,34.9663
354,-79.1703,34.4514
355,-76.9865,34.9663
356,-77.8253,34.4886
357,-79.3783,34.972
358,-77.2659,35.023
359,-79.0742,35.2399
360,-77.5838,34.6179
361,-76.4278,34.9226
362,-77.5502,34.5176
363,-77.4474,34.5756
364,-80.5226,34.9965
365,-79.0516,33.5456
366,-79.7545,35.6246
367,-77.8615,34.7953
368,-79.424,33.0947
369,-79.424,33.0947
370,-77.8391,34.8237
371,-79.9355,34.6224
372,-79.5624,33.174
373,-82.4256,29.7107
374,-79.424,33.0947
375,-79.424,33.0947
376,-81.7374,24.57
377,-77.5634,34.8423
378,-77.8391,34.8237
379,-77.9325,34.7359
380,-84.9657,30.4544
381,-79.8651,35.1285
382,-79.0313,34.8295
383,-79.3614,35.0479
384,-78.9485,35.5954
385,-77.99,33.9992
386,-76.226,35.8806
387,-77.99,33.9992
388,-76.226,35.8806
389,-78.2668,34.5714
390,-78.3473,34.458
391,-78.3473,34.458
392,-78.2668,34.5714
393,-78.2668,34.5714
394,-78.2668,34.5714
395,-76.9233,34.6823
396,-76.9233,34.6823
397,-76.9233,34.6823
398,-78.3473,34.458
399,-76.9233,34.6823
400,-76.9233,34.6823
401,-76.9233,34.6823
402,-78.255,34.5534
403,-78.7094,34.3177
404,-78.2932,34.0601
405,-79.3605,35.0526
406,-77.9107,34.0256
407,-77.9117,34.0261
408,-77.9107,34.0256
409,-77.9107,34.0256
410,-77.9107,34.0256
411,-77.9107,34.0256
412,-77.9107,34.0256
413,-77.9107,34.0256
414,-77.9107,34.0256
415,-75.6972,35.9335
416,-77.9107,34.0256
417,-79.3647,35.0447
418,-77.9107,34.0256
419,-79.3605,35.0526
420,-77.9107,34.0256
421,-77.9107,34.0256
422,-77.9107,34.0256
423,-77.9107,34.0256
424,-78.5861,33.8961
425,-77.9095,34.029
426,-78.3208,33.9389
427,-77.9107,34.0256
428,-77.9107,34.0256
429,-77.9107,34.0256
430,-77.9095,34.029
431,-77.9107,34.0256
432,-79.3605,35.0526
433,-78.1986,33.9452
434,-76.0659,35.9004
435,-76.0659,35.9004
436,-77.9107,34.0256
437,-77.9527,35.0649
438,-77.9527,35.0649
439,-77.9545,34.4518
440,-76.0659,35.9004
441,-82.2186,35.4587
442,-77.9545,34.4518
443,-77.9545,34.4518
444,-76.6631,34.7182
445,-77.9527,35.0649
446,-78.2937,34.0553
447,-77.9545,34.4518
448,-77.9545,34.4518
449,-77.9527,35.0649
450,-77.9545,34.4518
451,-77.9545,34.4518
452,-77.9545,34.4518
453,-76.7261,34.7233
454,-76.7261,34.7233
455,-76.6631,34.7182
456,-76.7263,34.7566
457,-77.9545,34.4518
458,-77.9527,35.0649
459,-77.9545,34.4518
460,-76.7263,34.7566
461,-76.5922,34.9785
462,-78.15,34.3597
463,-78.15,34.3597
464,-78.15,34.3597
465,-78.15,34.3597
466,-77.6834,35.0415
467,-77.6834,35.0415
468,-75.6555,35.9833
469,-76.5908,34.668
470,-76.6553,34.7193
471,-76.6789,34.6961
472,-76.5582,34.6954
473,-76.5908,34.668
474,-76.5908,34.668
475,-76.5908,34.668
476,-76.5582,34.6954
477,-76.5582,34.6954
478,-76.5582,34.6954
479,-75.6555,35.9833
480,-76.8798,35.2361
481,-76.5908,34.668
482,-76.5908,34.668
483,-76.6877,35.326
484,-76.6804,35.3339
485,-77.5009,35.3169
486,-77.3315,35.6089
487,-76.8751,35.2308
488,-76.6995,35.3204
489,-79.3633,34.8168
490,-78.9142,35.5768
491,-79.3536,34.8323
492,-76.7001,35.3037
493,-76.878,35.2347
494,-77.9127,35.386
495,-78.0081,35.0952
496,-76.6939,35.3033
497,-82.2401,35.444
498,-78.32,34.6135
499,-82.2401,35.444
500,-78.32,34.6135
501,-78.32,34.6135
