points,longitude,latitude
486,-69,18.35
487,-69,18.35
488,-69,18.35
489,-69,18.35
490,-69,18.35
491,-69,18.35
492,-69,18.35
493,-69,18.35
494,-69,18.35
495,-69,18.35
496,-69,18.35
497,-69,18.35
498,-69,18.35
499,-69,18.35
500,-71.787235,19.8970364
501,-71.2327717,18.8006982
502,-71.2327717,18.8006982
503,-71.2327717,18.8006982
504,-71.7904544,18.6887043
505,-71.7634537,18.6577058
506,-71.767,18.67
507,-70.666664,18.933332
508,-70.666664,18.933332
509,-70.5994255,19.0506864
510,-70.5994255,19.0506864
511,-70.5994255,19.0506864
512,-70.5994255,19.0506864
513,-70.5994255,19.0506864
514,-70.7604311,18.9306931
515,-70.7635411,18.911794
516,-70.6596188,18.9584718
517,-70.6596188,18.9584718
518,-70.43465,18.98333
519,-70.6281781,18.9840206
520,-71.6744515,18.3317217
521,-71.7004521,18.325722
522,-71.7004521,18.325722
523,-71.7004521,18.325722
524,-71.7004521,18.325722
525,-71.7004521,18.325722
526,-71.7004521,18.325722
527,-71.7004521,18.325722
528,-71.7004521,18.325722
529,-71.6744515,18.3317217
530,-71.6744515,18.3317217
531,-71.72664,18.25639
532,-71.65309,18.32666
533,-71.65309,18.32666
534,-71.65978,18.32027
535,-71.67984,18.30111
536,-71.67984,18.30111
537,-71.69321,18.28833
538,-71.69321,18.28833
539,-71.69321,18.28833
540,-71.6494527,18.0840658
541,-71.6494527,18.0840658
542,-71.6494527,18.0840658
543,-71.64197,18.27197
544,-71.7284527,18.2667248
545,-71.699452,18.1895086
546,-71.699452,18.1895086
547,-71.699452,18.1895086
548,-71.699452,18.1895086
549,-71.699452,18.1895086
550,-71.699452,18.1895086
551,-71.699452,18.1895086
552,-71.699452,18.1895086
553,-71.699452,18.1895086
554,-71.699452,18.1895086
555,-71.7285827,18.2668948
556,-71.7285827,18.2668948
557,-71.7227526,18.2803242
558,-71.7285827,18.2668948
559,-71.7094523,18.2887238
560,-71.7094523,18.2887238
561,-71.699452,18.3069529
562,-71.6026897,18.1284517
563,-71.60109,18.2329
564,-71.566666,18.200001
565,-71.566666,18.200001
566,-71.60009,18.23194
567,-71.60009,18.23194
568,-71.58003,18.18722
569,-71.58003,18.18722
570,-71.58003,18.18722
571,-71.58003,18.18722
572,-71.58003,18.18722
573,-71.58003,18.18722
574,-71.58003,18.18722
575,-71.58003,18.18722
576,-71.58003,18.18722
577,-71.58003,18.18722
578,-71.58003,18.18722
579,-71.58003,18.18722
580,-71.58003,18.18722
581,-71.58003,18.18722
582,-71.58003,18.18722
583,-71.58003,18.18722
584,-71.58003,18.18722
585,-71.58003,18.18722
586,-71.58003,18.18722
587,-69.3827306,18.4340499
588,-69.3827306,18.4340499
589,-70.17387,18.38333
590,-70.17387,18.38333
591,-70.1659473,18.4187783
592,-70.1659473,18.4187783
593,-71.216667,19.833332
594,-71.6494507,18.0837339
595,-71.6494507,18.0837339
596,-71.6494507,18.0837339
597,-71.6494507,18.0837339
598,-71.6494507,18.0837339
599,-71.6494507,18.0837339
600,-71.6494507,18.0837339
601,-71.55,19.75763
602,-71.55,19.75763
603,-69.90211,19.21672
604,-70.7635411,18.911794
605,-70.7635411,18.911794
606,-70.5464263,19.2016801
607,-68.712,18.944
608,-68.712,18.944
609,-68.712,18.944
610,-68.712,18.944
611,-68.712,18.944
612,-68.712,18.944
613,-68.712,18.944
614,-68.712,18.944
615,-68.712,18.944
616,-68.712,18.944
617,-68.712,18.944
618,-68.712,18.944
619,-68.712,18.944
620,-68.712,18.944
621,-68.712,18.944
622,-68.712,18.944
623,-68.712,18.944
624,-68.6493833,18.7607022
625,-68.3943775,18.4837159
626,-68.3943775,18.4837159
627,-68.3943775,18.4837159
628,-68.3943775,18.4837159
629,-68.3943775,18.4837159
630,-68.3943775,18.4837159
631,-68.3943775,18.4837159
632,-68.3943775,18.4837159
633,-71.5303989,19.4839961
634,-71.5303989,19.4839961
635,-71.6161208,19.2728062
636,-71.263442,18.1317318
637,-71.263442,18.1317318
638,-71.263442,18.1317318
639,-71.263442,18.1317318
640,-71.2684421,18.1247321
641,-71.2684421,18.1247321
642,-71.2684421,18.1247321
643,-71.2684421,18.1247321
644,-71.2684421,18.1247321
645,-71.2684421,18.1247321
646,-71.2684421,18.1247321
647,-71.2604419,18.1397314
648,-71.2604419,18.1397314
649,-71.2604419,18.1397314
650,-71.15999,17.99361
651,-71.182774,17.9674069
652,-70.5888669,18.4507165
653,-70.5888669,18.4507165
654,-70.5888669,18.4507165
655,-70.5888669,18.4507165
656,-70.5888669,18.4507165
657,-70.5888669,18.4507165
658,-70.5888669,18.4507165
659,-70.566666,19.016666
660,-70.566666,19.016666
661,-70.566666,19.016666
662,-70.566666,19.016666
663,-70.566666,19.016666
664,-70.566666,19.016666
665,-70.816666,18.916668
666,-70.816666,18.916668
667,-70.6994296,18.8406975
668,-69.513703,19.3173449
669,-69.513703,19.3173449
670,-69.513703,19.3173449
671,-68.3943775,18.4837159
672,-68.3943775,18.4837159
673,-68.3943775,18.4837159
674,-71.5161182,18.8153383
675,-71.749453,18.1153822
676,-71.749453,18.1153822
677,-70.900002,18.316668
678,-70.900002,18.316668
679,-70.900002,18.316668
680,-70.900002,18.316668
681,-70.5718265,18.4507166
682,-71.6994491,18.3340536
683,-71.6994491,18.3340536
684,-71.6994491,18.3340536
685,-71.6994491,18.3340536
686,-71.566666,18.316668
687,-71.566666,18.316668
688,-71.566666,18.316668
689,-71.566666,18.316668
690,-71.566666,18.316668
691,-71.566666,18.316668
692,-71.566666,18.316668
693,-71.566666,18.316668
694,-71.566666,18.316668
695,-71.566666,18.316668
696,-71.566666,18.316668
