"","V1"
"1",0.348107678549564
"2",0.160126903242771
"3",0.107054830783363
"4",0.151121539050953
"5",0.0858160818171318
"6",0.177085108844661
"7",0.222769443022431
"8",0.478092032710856
"9",0.162896243602425
"10",0.166584260695624
"11",0.140659925690815
"12",0.115264468708797
"13",0.110927186875066
"14",0.167316260777067
"15",0.136671134396229
"16",0.116182173981992
"17",0.161861406228844
"18",0.109181806866073
"19",0.140603511679853
"20",0.106019232359873
"21",0.0906274688976867
"22",0.144222918371282
"23",0.49087507574674
"24",0.112762446972946
"25",0.115731506308907
"26",0.150006933252691
"27",0.0943812085814865
"28",0.112696437675707
"29",0.149996392651941
"30",0.0824836541043148
"31",0.178920977540535
"32",0.0846652580192456
"33",0.121300988056575
"34",0.152238134594088
"35",0.113206119323891
"36",0.217869141813627
"37",0.135142484533122
"38",0.207309004300582
"39",0.0899908949012007
"40",0.105097812827615
"41",0.111601719406868
"42",0.231005137411164
"43",0.140828149267544
"44",0.0770578569636872
"45",0.0825480108661007
"46",0.178442427437005
"47",0.201078219517194
"48",0.087963417191286
"49",0.164014823476891
"50",0.167422356039138
"51",0.145150729325841
"52",0.119195264064854
"53",0.144432651125771
"54",0.196125754525979
"55",0.141634147599705
"56",0.579845383580864
"57",0.110980055187462
"58",0.0908197361294569
"59",0.234060098086716
"60",0.137753518022201
"61",0.18849491945678
"62",0.168267687532496
"63",0.188268748876071
"64",0.107946211796909
"65",0.13523664572793
"66",0.139741798327696
"67",0.264115679668979
"68",0.0967047017595207
"69",0.0902328826762183
"70",0.161499169919171
"71",0.144778441852983
"72",0.0919978324930973
"73",0.0838488116393183
"74",0.115677891326105
"75",0.13277186243556
"76",0.129790963534911
"77",0.0557481396155587
"78",0.221614758967741
"79",0.17048758335971
"80",0.131779203156277
"81",0.213991687324738
"82",0.0938339892090494
"83",0.147310775154602
"84",0.0941275464554895
"85",0.144683415647478
"86",0.11540306480322
"87",0.170568450970003
"88",0.13463265670151
"89",0.123224893260172
"90",0.0954464445791079
"91",0.0837831020279975
"92",0.16310496625028
"93",0.130968373712027
"94",0.123271450625389
"95",0.147058059418045
"96",0.233836279893802
"97",0.096990896693415
"98",0.196309345227723
"99",0.102574794301267
"100",0.146201304866516
